"Product ID","Published State","Purchase Type","Auto Translate","Locale; Title; Description","Auto Fill Prices","Price"
"1","published","managed_by_android","false","en_US; 1; 1","false","US; 1000000; DE; 760000; AT; 760000; BE; 760000; AU; 1000000; CH; 1000000; EE; 760000; IL; 3780000; SG; 1240000; NZ; 1240000; FR; 760000; SI; 760000; ES; 760000; FI; 760000; GR; 760000; PL; 3170000; KR; 1131000000; MX; 12950000; SK; 760000; CA; 990000; NL; 760000; JP; 99000000; NO; 6000000; IT; 760000; PT; 760000; SE; 7000000; DK; 6000000; CZ; 20000000; HK; 7760000; GB; 620000; LU; 760000; IE; 760000"
"10","published","managed_by_android","false","en_US; 10; 10","false","US; 10000000; DE; 7640000; AT; 7640000; BE; 7640000; AU; 9820000; IL; 37960000; CH; 9180000; EE; 7640000; SG; 12440000; NZ; 12570000; FR; 7640000; SI; 7640000; ES; 7640000; FI; 7640000; GR; 7640000; PL; 32050000; KR; 11353000000; MX; 131640000; SK; 7640000; CA; 9950000; NL; 7640000; JP; 799000000; PT; 7640000; IT; 7640000; NO; 57970000; SE; 68190000; CZ; 192350000; DK; 56830000; HK; 77610000; LU; 7640000; GB; 6190000; IE; 7640000"
"2","published","managed_by_android","false","en_US; 2; 2","false","US; 2000000; DE; 1530000; AT; 1530000; BE; 1530000; AU; 1960000; EE; 1530000; CH; 1840000; SG; 2490000; IL; 7590000; NZ; 2510000; FR; 1530000; SI; 1530000; ES; 1530000; FI; 1530000; GR; 1530000; PL; 6410000; KR; 2271000000; MX; 26330000; SK; 1530000; CA; 1990000; NL; 1530000; JP; 160000000; PT; 1530000; NO; 11590000; IT; 1530000; SE; 13640000; CZ; 38470000; DK; 11370000; HK; 15520000; GB; 1240000; LU; 1530000; IE; 1530000"
"3","published","managed_by_android","false","en_US; 3; 3","false","US; 3000000; DE; 2290000; AT; 2290000; BE; 2290000; AU; 2950000; IL; 11390000; CH; 2750000; EE; 2290000; SG; 3730000; NZ; 3770000; FR; 2290000; SI; 2290000; ES; 2290000; FI; 2290000; GR; 2290000; PL; 9610000; KR; 3406000000; MX; 39490000; SK; 2290000; CA; 2990000; NL; 2290000; JP; 240000000; PT; 2290000; IT; 2290000; NO; 17390000; SE; 20460000; CZ; 57710000; DK; 17050000; HK; 23280000; LU; 2290000; GB; 1860000; IE; 2290000"
"4","published","managed_by_android","false","en_US; 4; 4","false","US; 4000000; DE; 3060000; AT; 3060000; BE; 3060000; AU; 3930000; IL; 15190000; CH; 3670000; EE; 3060000; SG; 4980000; NZ; 5030000; FR; 3060000; SI; 3060000; ES; 3060000; FI; 3060000; GR; 3060000; PL; 12820000; KR; 4541000000; MX; 52660000; SK; 3060000; CA; 3980000; NL; 3060000; JP; 319000000; NO; 23190000; PT; 3060000; IT; 3060000; SE; 27280000; CZ; 76940000; DK; 22730000; HK; 31040000; LU; 3060000; GB; 2480000; IE; 3060000"
"5","published","managed_by_android","false","en_US; 5; 5","false","US; 5000000; DE; 3820000; AT; 3820000; BE; 3820000; AU; 4910000; IL; 18980000; CH; 4590000; EE; 3820000; SG; 6220000; NZ; 6290000; FR; 3820000; SI; 3820000; ES; 3820000; FI; 3820000; GR; 3820000; PL; 16020000; KR; 5676000000; MX; 65820000; SK; 3820000; CA; 4980000; NL; 3820000; JP; 399000000; NO; 28990000; PT; 3820000; IT; 3820000; SE; 34090000; CZ; 96180000; DK; 28410000; HK; 38810000; LU; 3820000; GB; 3100000; IE; 3820000"
"6","published","managed_by_android","false","en_US; 6; 6","false","US; 6000000; DE; 4580000; AT; 4580000; BE; 4580000; AU; 5890000; IL; 22780000; CH; 5510000; EE; 4580000; SG; 7470000; NZ; 7540000; FR; 4580000; SI; 4580000; ES; 4580000; FI; 4580000; GR; 4580000; PL; 19230000; KR; 6812000000; MX; 78990000; SK; 4580000; CA; 5970000; NL; 4580000; JP; 479000000; PT; 4580000; IT; 4580000; NO; 34780000; SE; 40910000; CZ; 115410000; DK; 34100000; HK; 46570000; LU; 4580000; GB; 3720000; IE; 4580000"
"7","published","managed_by_android","false","en_US; 7; 7","false","US; 7000000; DE; 5350000; AT; 5350000; BE; 5350000; AU; 6870000; EE; 5350000; CH; 6420000; SG; 8710000; IL; 26570000; NZ; 8800000; FR; 5350000; SI; 5350000; ES; 5350000; FI; 5350000; GR; 5350000; PL; 22430000; KR; 7947000000; MX; 92150000; SK; 5350000; CA; 6970000; NL; 5350000; JP; 559000000; PT; 5350000; IT; 5350000; NO; 40580000; SE; 47730000; CZ; 134650000; DK; 39780000; HK; 54330000; GB; 4340000; LU; 5350000; IE; 5350000"
"8","published","managed_by_android","false","en_US; 8; 8","false","US; 8000000; DE; 6110000; AT; 6110000; BE; 6110000; AU; 7860000; EE; 6110000; CH; 7340000; SG; 9960000; IL; 30370000; NZ; 10060000; FR; 6110000; SI; 6110000; ES; 6110000; FI; 6110000; GR; 6110000; PL; 25640000; KR; 9082000000; MX; 105320000; SK; 6110000; CA; 7960000; NL; 6110000; JP; 639000000; PT; 6110000; NO; 46380000; IT; 6110000; SE; 54550000; CZ; 153880000; DK; 45460000; HK; 62090000; GB; 4950000; LU; 6110000; IE; 6110000"
"9","published","managed_by_android","false","en_US; 9; 9","false","US; 9000000; DE; 6880000; AT; 6880000; BE; 6880000; AU; 8840000; EE; 6880000; CH; 8260000; SG; 11200000; IL; 34170000; NZ; 11320000; FR; 6880000; SI; 6880000; ES; 6880000; FI; 6880000; GR; 6880000; PL; 28840000; KR; 10217000000; MX; 118480000; SK; 6880000; CA; 8960000; NL; 6880000; JP; 719000000; PT; 6880000; IT; 6880000; NO; 52180000; SE; 61370000; CZ; 173120000; DK; 51150000; HK; 69850000; GB; 5570000; LU; 6880000; IE; 6880000"
